id,price,rooms,squareMeters,year,month
ec0dbed2542aeb6b942ab8f6af3c84cd,2050000,4.0,113,2023,8
7c6ccaf3efe953ce76cedaa1352e5963,869000,2.0,55,2023,8
35ea8a404e4c2e50f34813606564852c,700000,3.0,60,2023,8
24a9ac43825bfc3cd770bbca6c7353b4,435000,2.0,29,2023,8
f7d639c1c55289d2ad74a03252fe44a7,1500000,5.0,123,2023,8
a5ab796bda46641e52c49abc748b425f,937566,3.0,64,2023,8
e31fa054ee8881c4958594e271d58a02,900000,3.0,56,2023,8
376c9d532f6f762af55131528bad1d54,1424000,3.0,92,2023,8
a3957293319e3379b5d39ab6faa080c5,1134300,2.0,57,2023,8
970282c6656b2cb486e3fc3fdc6923d9,2000000,5.0,104,2023,8
a4798ab26e89c1157ecb67bada9e9f5e,975000,2.0,50,2023,8
a0f5a7ebecf44dbd0902d8562d9b2d2c,937566,3.0,64,2023,8
6e51641f1e5434cebc897f36be413270,1149900,3.0,80,2023,8
7ac269ad373fc0edf0f10cd97241da8d,888000,2.0,60,2023,8
c08c60de591269675148af4f595a4d37,929000,4.0,74,2023,8
3d710470724d66e6dbf9a498c647dd96,795000,3.0,71,2023,8
457c4c3230ee31bd2447f2a71bf76950,775000,3.0,53,2023,8
f57ff26c216808c249cb210a97e11fa1,799000,3.0,53,2023,8
f93155985cfd1dfc730dd11c6d8e67f3,765000,3.0,62,2023,8
75f3fa16f1a96422d234764e65e4791e,888000,2.0,60,2023,8
94661dfb20d039ed52c10771695a93e2,675000,2.0,39,2023,8
a1e526a6c3473b2660f199dce2f3f96c,630000,3.0,51,2023,8
b3af46d1ca417b7e0d545e5a0a1fe77d,445875,1.0,25,2023,8
6b615d8584cf6af582e5824c24b420e7,715000,2.0,49,2023,8
0a38e92dbe5cc412f6bfe1e795b05b25,759320,2.0,46,2023,8
4f47de6d539c4ba08b62345f564d5c26,630000,2.0,40,2023,8
4aa71a562481248bf8ef52bd56b627e0,1860000,6.0,143,2023,8
14d82b7010e35687491f97416f1cf6c7,1350000,3.0,84,2023,8
deffd9dfc0cf14c4deadba3161522e46,629000,3.0,65,2023,8
a0c92fd7b564cbc8d669e05de0de867e,550000,2.0,42,2023,8
0955112e9cc665e2ab03a0b7c8790e6a,640000,1.0,34,2023,8
852a3b88bb83d241bf42d340496999a3,600000,2.0,37,2023,8
b3c5d61bcb68cbcef5149dda0ea1f651,1299000,3.0,50,2023,8
c1a6d7cd75970b3bc4384e449caad401,1637000,5.0,114,2023,8
8e063bcd26b814f98f419e14ae614eec,1779648,4.0,97,2023,8
679cfa1fdb87617a41a430e04ef1f396,884000,3.0,75,2023,8
d931a4c5d3bcb54e90f55ed1279fac2a,699000,2.0,38,2023,8
c772fe606ceb5b3e4f56a33fa079414b,558000,3.0,59,2023,8
95e2ea0dab647b06601ef074f8ebb61f,1120000,3.0,55,2023,8
4a77a3584b8bc5aecde5d7648625fa45,620000,2.0,56,2023,8
7db32910adcbb04f44b1857f4ce930a4,1050000,5.0,107,2023,8
926903818d4ce97b92d304577f92caca,499000,2.0,30,2023,8
8eea3dd91bc93604d52668069698c484,710000,3.0,52,2023,8
80df7b26ffa35f79fe426a1be777c33d,950000,2.0,54,2023,8
dd39e31db13d44cd6c45aa5d2667bb03,545000,2.0,37,2023,8
15abdb2912e30da7e7e97ec0188abd96,686000,3.0,47,2023,8
62ed170de3ac4be3ca3fe16e9d0cd11c,1745000,3.0,83,2023,8
67383188be20ed8cc4f9c80f08ca1879,490000,2.0,40,2023,8
50e4d3480bf7d8dd75fe9f7beaedaac6,1495000,4.0,107,2023,8
479d37a72d18337bd8a888b280d4faac,710000,2.0,55,2023,8
630b94335dab0c07960a49ba60835276,2300000,4.0,107,2023,8
e322e618f4cd83d49404395a21860b08,470000,3.0,46,2023,8
335ef39601a0da82854045ed17c97b9a,810000,4.0,71,2023,8
3ae030817ea8536e7ea615d0784cd7a5,602350,2.0,34,2023,8
f49a98a58c7ad32095a4dbdb8d84f81a,865000,5.0,106,2023,8
b6252de77fae9ceb21bb13b3ea09b5bd,838200,3.0,61,2023,8
6f2d550e3df07e239ec9f28a2c9809cd,835000,2.0,52,2023,8
a62aef53b12ceca87ffeee6b700c1ea2,795000,3.0,57,2023,8
334c062ca630f22a7ac1c094d402328a,1900000,4.0,95,2023,8
30ff74dda4aea64646fa7cf6a1e14b28,1750000,4.0,82,2023,8
9e651c8987866bd6184399d4dee5a6ee,642770,2.0,32,2023,8
1d45054e97b8b77c49d75f6e2a61754e,1472000,6.0,122,2023,8
269e98ddd00b4db433fb1945e008c767,1650000,3.0,66,2023,8
84b82a307841a76385354702deb30159,519000,2.0,36,2023,8
bf6d5ab169ea89df5abff2a9598adfd1,660000,3.0,49,2023,8
3c6f59a9cb51a541d79e4474b9c8d6dc,968000,3.0,77,2023,8
d036f63c8dc1748b35b33424673676e5,1150000,3.0,74,2023,8
6d05c0521013b9bb7033f0f1a29a28e8,999000,2.0,54,2023,8
285173dd475bb8ff9835730c23264628,1850000,4.0,115,2023,8
5cb9dcc471d02d5ec289d38ab209ed58,639000,3.0,57,2023,8
23579d13f74fecbf9bb8e062315cb313,2100000,5.0,113,2023,8
50b5c13413827972bd4d26835effae7b,415000,1.0,29,2023,8
682e52c064e8918b581afb1788ead238,880000,2.0,55,2023,8
45ab355ebd1cb4a31326a0201a6baaf7,685000,2.0,39,2023,8
c7d218fc4f27cc0475d7638c660a7b12,480000,2.0,39,2023,8
1cd40b47607b9f69ea48d02947cb8033,1250000,3.0,85,2023,8
b1efd9920ba8ed3a0845349c7326c349,990000,4.0,72,2023,8
2f2345307e97322c74778077a6392e36,720000,2.0,58,2023,8
13dedb799fea919fa66b1fd6ea727328,715000,3.0,48,2023,8
877f0eaab27ef9225aa4c8efe0cd6826,726000,2.0,44,2023,8
595e0414891efe82cc2b7baf4e61b77d,835000,3.0,62,2023,8
010f6a3c866635529aa62237981c50f9,855000,3.0,58,2023,8
bdf16c7084d0cb458f865841fa991e41,899000,2.0,46,2023,8
428c8e70cf91b55288ade0a940322e07,430000,1.0,27,2023,8
dd6a2c88f4aea124bd471aaf20c3a8f9,1699999,4.0,91,2023,8
cf918ea9072f8b30a4cd7f387955a39b,722000,2.0,36,2023,8
154083d547fb369bd934ac172f8f0e69,595000,2.0,46,2023,8
7b662815973c5be0a6bc0d0a21ee072d,979000,3.0,63,2023,8
bbd3566fe7eb3144009a0bf665c60de3,700000,4.0,94,2023,8
b65df3a0e557d3f23fcf6f9c68a607f5,1100000,3.0,93,2023,8
7b0cd9e4ecc53be82e786ed88bcbc6b3,544000,2.0,28,2023,8
77e12165ccac20ca694b9534339f7ee3,700000,3.0,47,2023,8
858f0a9eae0134cf77f4a566e1049eab,628000,2.0,48,2023,8
2bedf75cacd1bdff42b5f8791b5d3984,939000,3.0,55,2023,8
e73e0386413be7820ba5c4ed43171ed4,668000,3.0,57,2023,8
8d00660f587a7c3e67fa56b76a813c6a,1200000,4.0,78,2023,8
189ddb42acd0dc7832a9b9293ab9e01a,425000,1.0,30,2023,8
c6f128aad20f64862ed897d80e079cb4,2390000,5.0,125,2023,8
e062fefedaebea3ba0696c6d3e76f91e,470000,2.0,41,2023,8
1f27ac6c04a04813d0becad948a56b5b,650000,2.0,36,2023,8
5a252cd6b2efedb7353cd5a80b3ba043,560000,2.0,41,2023,8
82f641c33bf7c6396b424c43374434f3,755000,2.0,44,2023,8
aebd4fddd3624e05bb535a5b253beaad,1990000,6.0,142,2023,8
17c634f00cd8cf72f2af1061eb888414,545000,3.0,56,2023,8
4d1420cd3af7061fbd05c85b62a8b95e,1500000,2.0,60,2023,8
89f7152d90ca5c1e8fae6df0221f47a4,712080,2.0,55,2023,8
e14b78c0d5361252f087bf92f558ece6,770000,2.0,55,2023,8
e34e26db8b21dd09a4c316d04e94dae3,1160700,3.0,73,2023,8
c6a3676d5e040f233c99a9f544166e7e,720000,2.0,42,2023,8
091a4d5138318a810ac91d7bf1f66c79,799000,2.0,50,2023,8
0d6fdd1a1020e439c8965b831dde222d,800000,4.0,75,2023,8
faabccf5704ba1a95707c8b58b5ac424,1160000,3.0,74,2023,8
3b0f3451de86ededef13cb439475503d,1390000,3.0,73,2023,8
0f4da0c21f055f83ca9fcda07271ad0d,1800000,4.0,118,2023,8
91dffcbc88660b418f34e328555b5fac,1850283,3.0,78,2023,8
981edb2353a99e810edd847e40a34194,2400000,5.0,112,2023,8
a84e4debd256e5ce87cf9563c98c9e5d,1259000,3.0,79,2023,8
09acbe924974818889442296cfdc6c31,2390000,5.0,125,2023,8
f5931bb1302cf89ac7e81c5c3bbf7892,795000,3.0,69,2023,8
